Fecha,Último Precio (Bs),Monto Efectivo (Bs),Variación (%),Títulos Negociados
2025-11-27,150.0,101785.0,0,689
2025-11-28,148.95,46481.79,-105,312
2025-12-01,150.0,26250.0,102,175
2025-12-02,150.0,83857.2,0,628
2025-12-03,147.0,18396.0,-3,123
2025-12-04,145.0,27971.0,-5,193
2025-12-06,144.9,38699.4,-1,268
2025-12-09,144.89,57811.69,-1,399
2025-12-10,149.0,4638.5,411,31
2025-12-11,145.0,185984.0,11,1281
2025-12-13,144.99,274144.99,274,2001
2025-12-15,143.99,348039.2,174,3428
2025-12-16,144.98,6909.93,273,48
2025-12-17,144.98,3573782.45,273,24778
2025-12-18,135.0,844187.0,-998,6749
2025-12-19,142.0,90127.0,-298,621
